PDBchain   len  method   resol   rfac  freerfac
4W8HA      129  XRAY      1.14  0.142  0.171
6W1GA      464  XRAY      1.14  0.143  0.166
4QPWA      142  XRAY      1.14  0.161  0.178
4INWA      140  XRAY      1.14  0.161  0.183
5KLAA      337  XRAY      1.14  0.162  0.174
6JV0A      302  XRAY      1.14  0.174  0.192
8JA1A      408  XRAY      1.14  0.184  0.187
3S2RA       83  XRAY      1.14  0.187  0.199
5UQZA      354  XRAY     1.149  0.126  0.146
2ZK9X      185  XRAY      1.15  0.098  0.136
7CN7C       75  XRAY      1.15  0.108  0.121
4YZ0A      204  XRAY      1.15  0.118  0.148
4UU3A      168  XRAY      1.15  0.122  0.133
4WN5A      115  XRAY      1.15  0.123  0.141
5NQOA      133  XRAY      1.15  0.126  0.145
6NP3A      268  XRAY      1.15  0.128  0.139
6H8OA       95  XRAY      1.15  0.128  0.179
6T9QA       67  XRAY      1.15  0.129  0.155
3ZZOA       95  XRAY      1.15   0.13  0.151
6CWMA      182  XRAY      1.15  0.132  0.159
3W06A      272  XRAY      1.15  0.133  0.162
2NSZA      129  XRAY      1.15  0.133   0.15
6TWPAAA    433  XRAY      1.15  0.136  0.161
4KU0A       96  XRAY      1.15  0.137  0.171
4KU0D       96  XRAY      1.15  0.137  0.171
7PQKA      232  XRAY      1.15  0.138  0.166
4DT5A      143  XRAY      1.15  0.138  0.161
8OV5M      312  XRAY      1.15  0.141  0.155
4JK8A      222  XRAY      1.15  0.141   0.16
8SBNA      214  XRAY      1.15  0.141  0.166
3M73A      314  XRAY      1.15  0.142  0.155
7W50A      377  XRAY      1.15  0.143  0.162
4U98A      454  XRAY      1.15  0.146  0.163
2ZPTX      295  XRAY      1.15  0.149   0.16
1XMTA      103  XRAY      1.15  0.149   0.17
3R72A      122  XRAY      1.15  0.153  0.173
2IC6A       78  XRAY      1.15  0.156  0.177
7M10A       74  XRAY      1.15  0.157  0.165
5G38A      172  XRAY      1.15  0.159  0.184
6NLQA      113  XRAY      1.15  0.159  0.172
7MQQA      114  XRAY      1.15  0.163  0.177
3L1EA      106  XRAY      1.15  0.166  0.193
4HROA       90  XRAY      1.15  0.166  0.166
3T3LA      129  XRAY      1.15  0.167  0.179
7HLLB      188  XRAY      1.15  0.171  0.188
5BTYA      138  XRAY      1.15  0.171  0.192
3H4TA      404  XRAY      1.15  0.172  0.182
4O06A      106  XRAY      1.15  0.173  0.194
7SOQA       99  XRAY      1.15  0.176  0.188
5JXMA      405  XRAY      1.15  0.179  0.211
2DKJA      407  XRAY      1.15   0.18   0.19
8IN3A      229  XRAY      1.15  0.182  0.189
2FHZB      108  XRAY      1.15  0.197    0.2
2V2PA      174  XRAY      1.15  0.201  0.224
2O9UX       97  XRAY      1.15  0.201  0.165
4AL0A      152  XRAY      1.16  0.122   0.13
5Z0DA      281  XRAY      1.16  0.127   0.16
5Z0DB      134  XRAY      1.16  0.127   0.16
6C4QA      103  XRAY      1.16   0.13  0.145
1H4XA      117  XRAY      1.16  0.133  0.164
6E1FA       89  XRAY      1.16  0.133  0.169
5O0SA      787  XRAY      1.16   0.14  0.163
6Q43B       47  XRAY      1.16  0.146  0.177
6Q43A       46  XRAY      1.16  0.146  0.177
6Q43C       46  XRAY      1.16  0.146  0.177
1X9IA      302  XRAY      1.16  0.148  0.164
8K75A      141  XRAY      1.16  0.168  0.184
5QUKA      229  XRAY      1.16  0.179  0.197
6L7QA      145  XRAY      1.16  0.192  0.205
7BNBA      383  XRAY      1.16  0.198  0.222
2VH3A      113  XRAY      1.16  0.216  0.236
7LWEA      129  XRAY      1.17  0.116  0.131
4UE0A      122  XRAY      1.17  0.117  0.146
5FYPA      298  XRAY      1.17  0.126  0.148
3X0TA      119  XRAY      1.17  0.133  0.169
8H0TA      202  XRAY      1.17  0.136  0.167
9BKSA       80  XRAY      1.17  0.151  0.173
5YKZA      119  XRAY      1.17  0.152   0.17
6PZLA      242  XRAY      1.17  0.161  0.184
4RU3A      221  XRAY     1.172  0.135   0.15
5O15A      311  XRAY     1.174  0.136  0.158
4NNOA      291  XRAY     1.174  0.151   0.16
4BFOA      106  XRAY     1.175  0.157  0.169
5F6RA      175  XRAY     1.179  0.148  0.166
6A9SA      397  XRAY      1.18  0.108   0.13
1KQ6A      141  XRAY      1.18  0.132  0.185
4NLMA      363  XRAY      1.18  0.147  0.181
5EQ0A       55  XRAY      1.18  0.158  0.186
4JHTA      206  XRAY      1.18  0.159  0.166
8IUBA      576  XRAY      1.18  0.164   0.19
5V6JA      112  XRAY      1.18  0.167  0.182
7GEFA      306  XRAY      1.18  0.169  0.186
5G5CA      275  XRAY      1.18  0.179  0.192
1N3LA      372  XRAY      1.18   0.18  0.223
5K91A      188  XRAY      1.18  0.192  0.222
5UQ6A      313  XRAY     1.182  0.142  0.155
8B2FA       74  XRAY     1.183  0.115  0.146
6UMUA      129  XRAY     1.183  0.154  0.164
5EQ7A      277  XRAY      1.19  0.111   0.14
4YEPA      185  XRAY      1.19  0.129  0.162
8BFTA      343  XRAY      1.19  0.138  0.167
4RLZA      316  XRAY      1.19  0.141   0.16
7TVCA      127  XRAY      1.19  0.159  0.171
6DGAA       95  XRAY      1.19  0.164  0.193
6P7ZA      432  XRAY      1.19  0.182  0.198
9DOCA      268  XRAY      1.19  0.189  0.197
6S95A      102  XRAY      1.19  0.199  0.216
2FJ8A      125  XRAY      1.19  0.213  0.244
6IUXA      379  XRAY     1.195   0.16  0.183
5NR4A      230  XRAY     1.198  0.201  0.214
4X9XA      299  XRAY     1.199  0.119  0.144
6EY1A      257  XRAY     1.199  0.122  0.138
6HERA      110  XRAY     1.199   0.17  0.195
8CI6A      499  XRAY     1.199  0.179  0.197
4OD6A       90  XRAY     1.199  0.183  0.209
5E9PA       86  XRAY       1.2  0.107  0.125
1H12A      405  XRAY       1.2  0.108   0.13
5JRYA      485  XRAY       1.2  0.113   0.13
3IR4A      218  XRAY       1.2  0.118  0.144
2FKKA      206  XRAY       1.2   0.12  0.136
1VR7A      142  XRAY       1.2   0.12   0.15
4RGDA       70  XRAY       1.2   0.12  0.147
2IAYA      114  XRAY       1.2  0.121  0.147
5MFAA      697  XRAY       1.2  0.124  0.143
1E4MM      501  XRAY       1.2  0.124  0.142
5HHJA      305  XRAY       1.2  0.124  0.147
1C0PA      363  XRAY       1.2  0.125   0.15
1M15A      357  XRAY       1.2  0.125   0.14
1KNMA      130  XRAY       1.2  0.126  0.169
7QYMAAA    178  XRAY       1.2  0.127  0.153
1J98A      157  XRAY       1.2  0.127  0.146
7QYMBBB    143  XRAY       1.2  0.127  0.153
1XDNA      277  XRAY       1.2  0.129  0.148
3OHEA      137  XRAY       1.2  0.129  0.153
8A7CA      346  XRAY       1.2   0.13  0.153
2H1VA      310  XRAY       1.2   0.13  0.173
7QOWA      531  XRAY       1.2  0.132   0.16
3BONA      425  XRAY       1.2  0.132   0.16
3GNEA      252  XRAY       1.2  0.132  0.179
6UFEA       92  XRAY       1.2  0.133  0.148
8B6EA       66  XRAY       1.2  0.133  0.176
6XFJA       82  XRAY       1.2  0.134  0.168
3VQJA      219  XRAY       1.2  0.135   0.17
3IPJA       95  XRAY       1.2  0.135   0.17
2BLNA      305  XRAY       1.2  0.136  0.158
5CWGA      210  XRAY       1.2  0.136  0.167
3SQZA      425  XRAY       1.2  0.137  0.155
1Z0WA      207  XRAY       1.2  0.137  0.181
8AQKA       53  XRAY       1.2  0.137  0.147
6SPOA      568  XRAY       1.2  0.138  0.167
4EBGA      101  XRAY       1.2  0.138  0.167
6PQKB       90  XRAY       1.2  0.138   0.16
6D9NA      148  XRAY       1.2  0.141  0.158
5K2LA       49  XRAY       1.2  0.141   0.18
2FCLA      169  XRAY       1.2  0.142   0.17
4P40A      425  XRAY       1.2  0.144  0.162
6A56A      164  XRAY       1.2  0.144  0.176
8BRSB      538  XRAY       1.2  0.145  0.156
8BRSA      212  XRAY       1.2  0.145  0.156
2QF4A      172  XRAY       1.2  0.145  0.167
6I9AA      461  XRAY       1.2  0.146  0.148
6SU5A      175  XRAY       1.2  0.146  0.189
4NYQA      164  XRAY       1.2  0.146  0.192
5V2OA       60  XRAY       1.2  0.146  0.178
4FR9A      144  XRAY       1.2  0.147  0.172
4LUPA      106  XRAY       1.2  0.147  0.165
3OXPA      150  XRAY       1.2  0.148  0.179
1NWWA      149  XRAY       1.2  0.148  0.175
2IJ2A      470  XRAY       1.2  0.149  0.166
6T0YA      275  XRAY       1.2  0.149  0.167
6KFSA      267  XRAY       1.2  0.149  0.167
2ZNRA      178  XRAY       1.2   0.15  0.165
6FU9B       93  XRAY       1.2   0.15  0.184
6FU9A       81  XRAY       1.2   0.15  0.184
8PAEAA     247  XRAY       1.2  0.152   0.18
2OMLA      189  XRAY       1.2  0.152  0.179
1W6SA      599  XRAY       1.2  0.153  0.177
7QOEA      204  XRAY       1.2  0.153  0.181
1W6SB       74  XRAY       1.2  0.153  0.177
2DLBA       80  XRAY       1.2  0.154  0.173
2R2ZA       93  XRAY       1.2  0.155  0.171
6PYMA      216  XRAY       1.2  0.159  0.165
6QXRA      232  XRAY       1.2   0.16  0.178
3BUUA      229  XRAY       1.2   0.16  0.192
4GWBA      168  XRAY       1.2   0.16   0.18
8IXTA      427  XRAY       1.2  0.161  0.171
6HBBA       92  XRAY       1.2  0.161  0.195
3FWKA      308  XRAY       1.2  0.162  0.178
7VUBA      154  XRAY       1.2  0.162  0.189
1NZ0A      118  XRAY       1.2  0.163  0.217
4TTWA      161  XRAY       1.2  0.164  0.189
1TU9A      134  XRAY       1.2  0.164  0.191
4O0AA      123  XRAY       1.2  0.164  0.176
4BGCA      102  XRAY       1.2  0.165  0.205
1VK1A      242  XRAY       1.2  0.166  0.175
6UOFA      119  XRAY       1.2  0.168  0.186
1X6IA       91  XRAY       1.2  0.171  0.211
4GMUA      612  XRAY       1.2  0.172  0.196
1Q35A      320  XRAY       1.2  0.172  0.195
7AVCAAA    150  XRAY       1.2  0.173  0.154
4RFUA      125  XRAY       1.2  0.175  0.181
2A26A       50  XRAY       1.2  0.175  0.198
8F3AA       46  XRAY       1.2  0.175  0.187
3D06A      200  XRAY       1.2  0.177  0.202
2ZFDB      123  XRAY       1.2   0.18  0.192
2H8EA      120  XRAY       1.2   0.18  0.191
2NRRA      159  XRAY       1.2  0.184  0.218
2CG7A       90  XRAY       1.2   0.19  0.219
2VY8A      157  XRAY       1.2  0.191  0.214
8XUKA      428  XRAY       1.2  0.192  0.208
3G36A       55  XRAY       1.2  0.197  0.227
2BBRA      195  XRAY       1.2  0.211  0.226
1USMA       80  XRAY       1.2  0.215  0.228
1LC0A      294  XRAY       1.2  0.222  0.229
1VE4A      206  XRAY       1.2   0.23  0.247
7DU7A       91  XRAY     1.201  0.204  0.218
4WJTA      167  XRAY      1.21  0.112  0.144
4YKIA      256  XRAY      1.21  0.135  0.161
2B69A      343  XRAY      1.21  0.136  0.162
8XILA      992  XRAY      1.21  0.144  0.164
5C33A      198  XRAY      1.21  0.145  0.172
8PAYA      370  XRAY      1.21  0.152  0.188
6IH0A      279  XRAY      1.21  0.165  0.182
6Z7AA      491  XRAY      1.21  0.167  0.187
8T9SA       97  XRAY      1.21  0.168  0.186
3BMZA      199  XRAY      1.21  0.169  0.195
6SQPA       63  XRAY      1.21  0.171  0.212
3B5MA      205  XRAY      1.21  0.177  0.202
6UT9A      162  XRAY      1.21  0.189  0.211
7CHRA       76  XRAY      1.21  0.189  0.195
5GGNA      164  XRAY     1.211  0.144  0.166
5X5MA      216  XRAY     1.211  0.181  0.195
6I05A       79  XRAY     1.213  0.154  0.171
5K87A      399  XRAY     1.219  0.164  0.182
3M7AA      140  XRAY      1.22  0.119  0.148
8D2YA      477  XRAY      1.22  0.134  0.152
8WS2A      275  XRAY      1.22  0.143  0.166
7NRUA      257  XRAY      1.22  0.143  0.166
6GVDA      575  XRAY      1.22  0.151  0.188
5X7LA      138  XRAY      1.22  0.151  0.166
7ETKA      312  XRAY      1.22  0.152  0.172
8H1FA      102  XRAY      1.22  0.158  0.175
5HOBA       50  XRAY      1.22   0.19  0.214
6KBXB      227  XRAY     1.221  0.156  0.165
2V9LA      274  XRAY      1.23  0.091  0.122
6GP3A      345  XRAY      1.23  0.147  0.163
4DQJA      173  XRAY      1.23  0.152   0.17
7RUPA       73  XRAY      1.23  0.153  0.177
5W98A      336  XRAY      1.23  0.164  0.186
7WXMA      367  XRAY      1.23  0.171  0.186
7R4UA      163  XRAY      1.23  0.171  0.186
8DKPA      396  XRAY      1.23  0.174  0.184
8HEKA       92  XRAY      1.23  0.181  0.199
6Y56A      293  XRAY      1.23  0.184  0.195
4UHOA      468  XRAY      1.24  0.106  0.123
4D6GA      599  XRAY      1.24  0.118  0.133
6O5IA      489  XRAY      1.24  0.128  0.164
4NKPA      148  XRAY      1.24  0.129  0.149
7ZILAAA    272  XRAY      1.24  0.138  0.155
7EE5A      124  XRAY      1.24  0.139   0.16
5C17A      209  XRAY      1.24  0.143  0.161
5XVEA      356  XRAY      1.24  0.148  0.164
4PJ2A      135  XRAY      1.24  0.148  0.168
5HHAA      286  XRAY      1.24  0.151  0.165
7SKEA      277  XRAY      1.24  0.174  0.193
4A56A       93  XRAY      1.24  0.174   0.19
6S0PA      261  XRAY      1.24   0.18  0.209
4WK7A      235  XRAY      1.24  0.197  0.213
7EK6A       52  XRAY     1.243  0.174  0.185
5C5GA      254  XRAY     1.248  0.149  0.166
6YFIA      156  XRAY     1.248  0.176  0.197
4HY4A      115  XRAY     1.249  0.153   0.17
5XBCA      118  XRAY     1.249  0.172  0.193
6UTCA      104  XRAY     1.249  0.194  0.213
8F9OA      496  XRAY      1.25  0.103   0.12
1M4LA      307  XRAY      1.25  0.104  0.145
3MQDA      428  XRAY      1.25  0.113  0.133
1RWHA      757  XRAY      1.25  0.114  0.142
6E85A      331  XRAY      1.25  0.115  0.139
4S28A      576  XRAY      1.25  0.117  0.137
3GIUA      215  XRAY      1.25  0.118  0.148
4PS6A      130  XRAY      1.25  0.118  0.164
3MMHA      167  XRAY      1.25   0.12  0.157
4J5RA      146  XRAY      1.25   0.12  0.153
5M5ZA      757  XRAY      1.25  0.123  0.141
4RWUA       92  XRAY      1.25  0.123  0.149
7MIWA      472  XRAY      1.25  0.124  0.147
7MQ5A      289  XRAY      1.25   0.13  0.157
3OYVA      361  XRAY      1.25  0.133  0.163
8II8A      226  XRAY      1.25  0.133  0.164
7G2WA      846  XRAY      1.25  0.134  0.169
3U9WA      608  XRAY      1.25  0.134  0.161
4JGLA      169  XRAY      1.25  0.135  0.153
7PJ4AAA    274  XRAY      1.25  0.137  0.162
8AJQA      132  XRAY      1.25  0.138  0.152
4X84A      231  XRAY      1.25  0.139  0.157
5UWZA      243  XRAY      1.25   0.14  0.167
5CVWA      153  XRAY      1.25   0.14  0.166
3QZMA      127  XRAY      1.25   0.14  0.164
3NJNA      119  XRAY      1.25   0.14  0.164
4K8GA      422  XRAY      1.25  0.141  0.148
6X7HA      109  XRAY      1.25  0.141  0.173
6E0OA      292  XRAY      1.25  0.143  0.164
5IHWA      314  XRAY      1.25  0.144  0.176
6YB7A      305  XRAY      1.25  0.144   0.18
1M2BA      110  XRAY      1.25  0.145  0.196
2YH5A      127  XRAY      1.25  0.148  0.184
8DCHA       99  XRAY      1.25  0.148  0.186
1K3XA      262  XRAY      1.25  0.149  0.181
6BHDA      239  XRAY      1.25  0.149  0.183
1EAQA      140  XRAY      1.25  0.149  0.167
5NJ9A      495  XRAY      1.25  0.151  0.182
2COVD      104  XRAY      1.25  0.151  0.175
3SGGA      536  XRAY      1.25  0.152  0.176
7ESWA      138  XRAY      1.25  0.152  0.174
3ZRXA      115  XRAY      1.25  0.153    0.2
2WLVA      144  XRAY      1.25  0.155  0.184
2P2SA      336  XRAY      1.25  0.157  0.179
6X84A      416  XRAY      1.25  0.159  0.186
4AFMA      134  XRAY      1.25  0.159  0.173
8SRZA       92  XRAY      1.25  0.159  0.178
1JNIA      123  XRAY      1.25   0.16  0.214
3B0GA      591  XRAY      1.25  0.161  0.169
5JJ2A      211  XRAY      1.25  0.162   0.18
6DOPA      142  XRAY      1.25  0.163  0.178
4C6AA      154  XRAY      1.25  0.164  0.172
2C60A      111  XRAY      1.25  0.166  0.182
3UP3A      243  XRAY      1.25  0.167   0.18
5EWUA      388  XRAY      1.25   0.17  0.184
6R2WL      143  XRAY      1.25  0.171  0.194
7TQOA      243  XRAY      1.25  0.172   0.19
8PI4A       53  XRAY      1.25  0.173  0.175
4QASA      201  XRAY      1.25  0.175  0.192
9MDCA      366  XRAY      1.25  0.177  0.203
8CBAA      214  XRAY      1.25  0.177  0.203
2QJZA      123  XRAY      1.25  0.177  0.198
2WNFA      298  XRAY      1.25  0.181  0.195
6TAKAAA    213  XRAY      1.25  0.182  0.206
1Y6XA       93  XRAY      1.25  0.185  0.207
6AYMA      238  XRAY      1.25   0.19  0.205
2GOMA       61  XRAY      1.25  0.211  0.218
3O2RA      170  XRAY     1.251  0.135  0.168
7FDSA      128  XRAY     1.258  0.145  0.178
7C6CA      242  XRAY     1.258  0.151  0.166
3PD7A      107  XRAY      1.26  0.114  0.144
4QP5A      140  XRAY      1.26  0.133  0.175
2RILA       99  XRAY      1.26  0.141  0.162
4F98A       69  XRAY      1.26  0.145  0.169
2FCWB       80  XRAY      1.26  0.152    0.2
3ZN4A      173  XRAY      1.26  0.158  0.184
9IXCA      281  XRAY      1.26  0.166  0.186
7QQYA      224  XRAY      1.26  0.194  0.227
8PJ7A      148  XRAY      1.26  0.199  0.222
8BD1A      134  XRAY      1.26  0.199  0.219
8BD1B      132  XRAY      1.26  0.199  0.219
4CHIA      332  XRAY      1.27  0.104  0.127
9F96A      298  XRAY      1.27  0.129  0.147
7RFQA      270  XRAY      1.27  0.132  0.155
7Q4TAAA    206  XRAY      1.27  0.132  0.161
1GXUA       91  XRAY      1.27  0.133  0.161
5VHGA      150  XRAY      1.27  0.151  0.179
7M3HA      423  XRAY      1.27  0.152  0.166
4Q53A      110  XRAY      1.27  0.155  0.176
6I1AA      370  XRAY      1.27  0.159  0.178
5IK4A      393  XRAY      1.27   0.16  0.182
5BMNA      468  XRAY      1.27  0.166  0.187
5R0DB      308  XRAY      1.27  0.181  0.197
2CC6A       68  XRAY      1.27  0.208  0.232
5OL4B      122  XRAY      1.28   0.12  0.137
5OL4A      100  XRAY      1.28   0.12  0.137
4RZ9A      179  XRAY      1.28  0.128   0.15
6IX1A      225  XRAY      1.28  0.133   0.17
5M33A      101  XRAY      1.28  0.138  0.173
4OHJA      229  XRAY      1.28  0.143  0.177
2Y7EA      282  XRAY      1.28  0.145   0.17
7KPOA      108  XRAY      1.28  0.146   0.18
4EP4A      166  XRAY      1.28  0.155  0.191
5N8AX      102  XRAY      1.28  0.155  0.178
3TVJA       86  XRAY      1.28  0.159  0.205
4J42A       93  XRAY      1.28  0.163  0.174
7NQEA      222  XRAY      1.28  0.164   0.19
3RKGA      261  XRAY      1.28   0.17  0.204
8S2MA      142  XRAY      1.28  0.171  0.185
8EB9A       95  XRAY      1.28  0.172  0.193
5LY8A      247  XRAY      1.28  0.184  0.198
6TS3A       73  XRAY      1.28  0.184  0.199
1RTTA      193  XRAY      1.28  0.211  0.228
4RUWA      440  XRAY     1.281  0.138  0.148
6H26A      253  XRAY     1.288  0.152  0.187
9JOCA      389  XRAY      1.29  0.137  0.157
8SU3A      382  XRAY      1.29  0.151  0.162
8QAOA       95  XRAY      1.29  0.151  0.183
6SA5A      137  XRAY      1.29  0.156  0.188
4TKCA      120  XRAY      1.29  0.162  0.207
6IIYA      293  XRAY      1.29  0.163  0.182
7OMVAAA    210  XRAY      1.29  0.163  0.202
8TXFA      323  XRAY      1.29  0.166   0.18
6ST4A      104  XRAY      1.29  0.179  0.194
4FZPA       82  XRAY      1.29   0.18  0.188
7W83A      222  XRAY      1.29  0.187  0.221
8DEZA      173  XRAY      1.29  0.202  0.206
8TNDA      147  XRAY      1.29  0.203  0.224
2XN6A      350  XRAY      1.29  0.209  0.235
6EFNA      412  XRAY     1.291  0.144  0.169
7OS5AAA    373  XRAY     1.293  0.155  0.194
6FC0B       81  XRAY     1.293  0.165  0.201
3S2JA      400  XRAY     1.297  0.171  0.177
6NE2A      124  XRAY     1.299  0.163  0.184
6LL8A      309  XRAY       1.3  0.098  0.122
3T2CA      407  XRAY       1.3  0.109  0.129
4W9ZA      139  XRAY       1.3   0.11  0.134
5ZW7A      402  XRAY       1.3  0.114  0.127
5UEJA      384  XRAY       1.3  0.115  0.153
4Q98A      369  XRAY       1.3   0.12  0.156
8JV2A      361  XRAY       1.3   0.12  0.134
4M1XA       99  XRAY       1.3   0.12  0.144
8G28A      426  XRAY       1.3  0.121  0.143
4JJAA      371  XRAY       1.3  0.121  0.151
5A0NA      220  XRAY       1.3  0.121  0.151
6XTDB      163  XRAY       1.3  0.123  0.165
6XTDA      155  XRAY       1.3  0.123  0.165
3M3PA      250  XRAY       1.3  0.125  0.155
2X5NA      192  XRAY       1.3  0.125  0.165
4JG2A      208  XRAY       1.3  0.126  0.163
5V01A      173  XRAY       1.3  0.126  0.161
3ZNVA      275  XRAY       1.3  0.127  0.154
6GCVA      146  XRAY       1.3  0.127  0.153
5SUIA      439  XRAY       1.3   0.13  0.162
4IUSA      261  XRAY       1.3   0.13  0.156
4RLEA      117  XRAY       1.3  0.131  0.154
1G61A      228  XRAY       1.3  0.132  0.179
5INBB       46  XRAY       1.3  0.133  0.153
4GVQA      316  XRAY       1.3  0.135   0.16
3L9AX       88  XRAY       1.3  0.135  0.155
4BRCA      368  XRAY       1.3  0.136  0.186
1VLYA      338  XRAY       1.3  0.136  0.168
3KKFA      105  XRAY       1.3  0.136  0.167
3EOJA      366  XRAY       1.3  0.137  0.161
3N6ZA      363  XRAY       1.3  0.137  0.157
4P7XA      292  XRAY       1.3  0.137  0.162
6ULOA      334  XRAY       1.3  0.138  0.172
4N13A      265  XRAY       1.3  0.138  0.161
4CFIA      258  XRAY       1.3  0.138  0.165
2OKTA      342  XRAY       1.3  0.139  0.181
3HM4A      156  XRAY       1.3  0.139  0.165
6TRJA       91  XRAY       1.3  0.139  0.177
2VLAA      285  XRAY       1.3   0.14  0.166
9DV9A      475  XRAY       1.3  0.141  0.162
8PD6A      218  XRAY       1.3  0.141  0.177
1DG6A      191  XRAY       1.3  0.141  0.197
4PVKA      500  XRAY       1.3  0.142   0.16
5OBYA      374  XRAY       1.3  0.142  0.161
4XMRA      254  XRAY       1.3  0.142  0.173
5A67A      212  XRAY       1.3  0.142  0.175
5GQIA      247  XRAY       1.3  0.144  0.169
3E8TA      220  XRAY       1.3  0.144  0.182
2CCVA      101  XRAY       1.3  0.144  0.179
8CXKA      291  XRAY       1.3  0.145  0.164
8TK9A      214  XRAY       1.3  0.146  0.169
6TKLI       53  XRAY       1.3  0.147  0.176
2QSBA       89  XRAY       1.3  0.149  0.178
7COHA      514  XRAY       1.3   0.15   0.17
7COHC      261  XRAY       1.3   0.15   0.17
3MQZA      215  XRAY       1.3   0.15  0.174
7COHD      147  XRAY       1.3   0.15   0.17
6VH6A      142  XRAY       1.3   0.15  0.161
1FLMA      122  XRAY       1.3   0.15  0.182
7COHH       85  XRAY       1.3   0.15   0.17
7COHI       73  XRAY       1.3   0.15   0.17
7COHJ       59  XRAY       1.3   0.15   0.17
7COHK       56  XRAY       1.3   0.15   0.17
3B9WA      407  XRAY       1.3  0.151  0.171
5HB6A      144  XRAY       1.3  0.151  0.174
7AQZA      364  XRAY       1.3  0.152  0.172
6SBAA      221  XRAY       1.3  0.152  0.175
4H7PA      345  XRAY       1.3  0.153  0.178
4GMQA      103  XRAY       1.3  0.153  0.188
2OXCA      230  XRAY       1.3  0.154  0.175
3KEVA      199  XRAY       1.3  0.156  0.178
7ULDA      251  XRAY       1.3  0.157  0.182
1RUTX      188  XRAY       1.3  0.157  0.193
6B29A       59  XRAY       1.3  0.158  0.189
1TBFA      347  XRAY       1.3  0.159  0.185
5IWUA      302  XRAY       1.3  0.159  0.171
7UZOA      101  XRAY       1.3  0.159  0.182
7NX1A      322  XRAY       1.3   0.16   0.18
4I66A      209  XRAY       1.3   0.16  0.198
1KMTA      141  XRAY       1.3   0.16  0.195
5IZ3B      316  XRAY       1.3  0.161  0.191
2J6BA      109  XRAY       1.3  0.161  0.192
9FZKB      290  XRAY       1.3  0.162  0.185
6JSAA      175  XRAY       1.3  0.162   0.18
9FZKA      131  XRAY       1.3  0.162  0.185
4CGOA      411  XRAY       1.3  0.163  0.196
3HLXA      258  XRAY       1.3  0.165  0.198
4FCHA      221  XRAY       1.3  0.165  0.177
6HXMA      270  XRAY       1.3  0.167  0.178
6GG1A      154  XRAY       1.3  0.168  0.183
3QU3A      137  XRAY       1.3  0.169    0.2
9F2HA      111  XRAY       1.3  0.169  0.189
1CY5A       97  XRAY       1.3  0.169  0.199
5EXHC       47  XRAY       1.3  0.169  0.187
5ZRYA      194  XRAY       1.3   0.17  0.199
8YJCA      225  XRAY       1.3  0.171  0.189
4HM8B      194  XRAY       1.3  0.171  0.194
3NDHA      225  XRAY       1.3  0.172  0.183
8WC1A      178  XRAY       1.3  0.172  0.184
7DHPA      137  XRAY       1.3  0.172  0.185
3NO0A      276  XRAY       1.3  0.173  0.189
3CIMA       99  XRAY       1.3  0.173  0.222
5YH4A      179  XRAY       1.3  0.175  0.188
4CGSA      173  XRAY       1.3  0.175   0.22
3D3BJ       87  XRAY       1.3  0.175  0.204
8YLAA      339  XRAY       1.3  0.176  0.191
7MT1A      343  XRAY       1.3  0.177  0.197
8K7ZA      180  XRAY       1.3  0.177  0.201
3BQPA       80  XRAY       1.3  0.177  0.234
3M6WA      464  XRAY       1.3  0.178  0.191
6TGKC      105  XRAY       1.3  0.179  0.207
2D1SA      548  XRAY       1.3  0.181  0.201
1HYOA      421  XRAY       1.3  0.181  0.199
6KJKA      147  XRAY       1.3  0.182  0.203
5IO9A      106  XRAY       1.3  0.188   0.21
7OXDA      155  XRAY       1.3  0.189  0.195
6L5HA       98  XRAY       1.3   0.19  0.204
2FCJA      119  XRAY       1.3  0.192  0.214
5Y4ZA      440  XRAY       1.3  0.193  0.216
5V3NA      113  XRAY       1.3  0.193  0.217
2OS0A      188  XRAY       1.3  0.195  0.207
1UCDA      190  XRAY       1.3    0.2  0.203
2GRRB      170  XRAY       1.3  0.201  0.222
7BQIA      183  XRAY       1.3  0.213   0.24
4GZCA      180  XRAY       1.3  0.213  0.231
3JTZA       88  XRAY       1.3  0.214  0.239
1F9VA      347  XRAY       1.3  0.218  0.242
8QUPA      124  XRAY       1.3  0.228  0.265
3T47A       81  XRAY     1.301  0.157  0.186
5OL9A      106  XRAY     1.302  0.191  0.197
6BSCA       57  XRAY     1.303  0.158  0.184
6BSCB       55  XRAY     1.303  0.158  0.184
5ZT3A      130  XRAY     1.304  0.188  0.193
5L0VA      357  XRAY     1.305  0.159  0.174
5GWNA      439  XRAY     1.309  0.172  0.189
6JV7A       77  XRAY     1.309  0.199  0.251
7RW4A      342  XRAY      1.31  0.138  0.168
5BOWA      151  XRAY      1.31  0.139   0.16
5SV2A      146  XRAY      1.31  0.143   0.16
1VMHA      144  XRAY      1.31  0.159  0.185
3ACXA      293  XRAY      1.31  0.161  0.182
4OJXA      369  XRAY      1.31  0.169  0.179
7G83B      245  XRAY      1.31  0.186  0.205
6TCVB      451  XRAY     1.311   0.16  0.177
4NBPA      132  XRAY     1.315  0.155  0.178
7OLWAAA    134  XRAY      1.32  0.105  0.129
7FH8A      676  XRAY      1.32  0.122  0.154
1GXMA      332  XRAY      1.32  0.132  0.162
7THHA      131  XRAY      1.32  0.147  0.191
6GG7C       77  XRAY      1.32  0.147  0.173
4GC3A      284  XRAY      1.32  0.152  0.162
